predicted_drug,log_ratio_1,log_ratio_2,log_ratio_3,log_ratio_4,log_ratio_5,log_ratio_6,log_ratio_7,log_ratio_8,log_ratio_9,log_ratio_10,log_ratio_11,log_ratio_12,log_ratio_13,log_ratio_14,log_ratio_15,log_ratio_16,log_ratio_17,log_ratio_18,log_ratio_19,log_ratio_20,log_ratio_21,log_ratio_22,log_ratio_23,log_ratio_24,log_ratio_25,log_ratio_26,log_ratio_27,log_ratio_28,log_ratio_29,log_ratio_30,log_ratio_31,log_ratio_32,log_ratio_33,log_ratio_34,log_ratio_35,log_ratio_36,log_ratio_37,log_ratio_38,log_ratio_39,log_ratio_40,log_ratio_41,log_ratio_42,log_ratio_43,log_ratio_44,log_ratio_45,log_ratio_46,log_ratio_47,log_ratio_48,log_ratio_49,log_ratio_50,log_ratio_51,log_ratio_52,log_ratio_53
-5.4381313,0.11933129999999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.432623,-0.3632769999999992,-0.12017699999999998,-0.4881769999999994,0.045423000000000435,-0.45347699999999946,-0.10497699999999988,-0.12017699999999998,0.023723000000000383,0.05582300000000018,-0.3369769999999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.4077845,-0.5429431940000002,-0.7894144179999998,-0.8758949029999998,-0.6133231590000001,-0.5533252300000004,-0.7659333229999996,-0.6381467430000001,-1.0132784590000004,-1.2153831510000002,-0.743656928,-0.6925044050000002,-0.743656928,-0.9507155000000003,-0.6924155000000001,-0.7212154999999996,-0.6848155,-0.3492154999999997,0.25968449999999965,0.2279844999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.403367,0.056567000000000256,0.22946700000000053,0.33786700000000014,0.45256700000000016,0.5908670000000003,0.5677669999999999,0.44076700000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.402546,0.27234599999999975,0.15684599999999982,-0.108854,-0.1824539999999999,-0.1246539999999996,0.006745999999999697,-0.9253539999999996,-0.0008540000000003545,0.2426459999999997,0.41664600000000007,0.5754460000000003,0.6378459999999997,0.6824459999999997,0.7443460000000002,0.7327459999999997,0.9083459999999999,0.8512459999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.3480725,0.49417249999999946,0.3692725000000001,0.38547249999999966,0.5094725000000002,0.6784724999999998,0.21137249999999952,0.4379724999999999,0.6469724999999995,0.8044725000000001,0.6175724999999996,0.7318724999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.3225174,0.10571739999999963,0.1486174,0.26801739999999974,0.5328173999999999,0.08071740000000016,0.34821739999999934,0.6006174,0.6976173999999995,0.3539173999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.3148813,0.10698129999999928,0.12308129999999995,0.6132812999999997,0.4481812999999999,0.3189812999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.2800517,-1.4670483,-1.4081483000000006,-1.6026483000000002,-1.6987483,-1.7287483000000003,-0.06674830000000043,0.26685169999999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.2370644,-0.2687355999999994,-0.5670355999999996,-0.9056355999999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.1522737,0.033073700000000095,0.3977737000000001,0.34537370000000056,0.5158737000000002,0.5570737000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.142135,-0.6469650000000007,-1.7929650000000006,-2.3349650000000004,-1.0617650000000003,-0.4637650000000004,-0.6801650000000006,-1.7590650000000005,-0.9088650000000005,-2.1588650000000005,-1.8566650000000005,-0.6302650000000005,-1.219665,-1.2308650000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.1183414,0.011541400000000479,-0.06305859999999974,-0.1643585999999999,-0.21975859999999958,-0.4365585999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.115529,0.2616570360000008,0.24906790800000067,-0.583441004,-0.3931093059999995,-0.03321265099999948,-0.1285961439999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.9840975,0.013497499999999718,0.20419750000000025,-0.020302500000000556,0.0704975000000001,0.43739749999999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.9627347,-1.0460652999999995,-0.6570652999999993,-0.3296652999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
