best_model,value
-4.670354843,-4.5079
-4.392559528,-4.3794
-4.386600494,-4.3
-4.42901516,-4.238
-4.393177986,-4.4094
-4.866076946,-5.4881
-5.814855576,-5.3969
-5.663198471,-5.439031205
-4.968990326,-4.954242509
-5.053938389,-4.84703254
-5.494561195,-5.763910811
-5.179130554,-5.377325553
-5.027549744,-5.026102803
-4.86377573,-4.793623937
-5.532598972,-5.067
-6.290344238,-6.0405
-5.640426636,-5.6813
-5.801341534,-5.3413
-5.331338882,-5.5952
-5.328432083,-5.1073
-5.375620365,-5.4157
-7.341100693,-7.4815
-7.3808465,-7.4202
-7.356681347,-7.3565
-7.279806137,-7.3188
-6.752340317,-6.7959
-6.763813972,-6.7212
-6.757609844,-6.6198
-6.760635853,-6.5376
-6.803621769,-6.9208
-6.812037468,-6.8239
-6.780796051,-6.7696
-6.725605488,-6.699
-6.798663616,-6.9208
-6.781311512,-6.8239
-6.768399715,-6.7447
-6.745218277,-6.6778
-6.684182167,-5.7891
-6.202095032,-6.9351
-6.333502293,-7.4771
-6.686402321,-6.2039
-6.381725311,-5.6059
-6.469596386,-5.8223
-5.956566811,-6.9012
-6.399441719,-6.051
-6.695987701,-7.301
-6.962919235,-6.9988
-6.422513962,-5.7724
-6.040318966,-6.3618
-6.196805,-6.373
-5.309905052,-4.853871964
-5.294465542,-4.866461092
-5.192894936,-5.698970004
-5.243265629,-5.508638306
-5.230217457,-5.148741651
-5.337321281,-5.244125144
-5.623288631,-6.1427
-5.415563107,-5.9208
-5.319303513,-5.7696
-5.022622108,-4.8356
-4.735176086,-4.6383
-5.553454876,-5.7959
-5.590518951,-5.3372
-5.386533737,-5.6198
-4.912660599,-4.8477
-4.685428619,-4.6757
-5.500576496,-5.5229
-5.306021214,-5.4685
-5.266349792,-5.3872
-4.914167404,-4.8182
-4.768257141,-4.6402
-4.966160297,-5.1192
-5.091964245,-4.7545
-5.034087658,-4.8069
-4.821737289,-4.6364
-4.698325157,-4.5952
-5.130959511,-4.9706
-5.192979813,-4.7799
-4.989006996,-5.0044
-4.763703346,-4.9136
-4.707111835,-4.5467
-5.346670628,-5.3925
-5.362420559,-5.3862
-5.279461384,-5.4353
-5.355482578,-5.3706
-5.38290453,-5.1726
-5.227591515,-4.8069
-5.34612608,-5.4067
-5.323537827,-5.4498
-5.697352409,-6.022276395
-5.41950798,-4.559090918
-5.31809473,-5.9914
-5.13620472,-4.7799
-4.774056435,-4.581698709
-5.739030838,-6.1549
-4.577652454,-4.6596
-5.09858799,-5.3468
-5.245245457,-5.0132
-4.684454918,-4.5376
-4.652644157,-4.1965
-4.606411457,-4.6778
-4.601707935,-4.6968
-4.674636841,-4.6576
-4.593008995,-4.8239
-5.739030838,-6.1549
-5.02457428,-5.0044
-4.562325001,-4.6596
-4.546624184,-4.4271
-4.602198601,-4.2154
-4.53428936,-4.5452
-5.964701653,-6.1549
-5.229842663,-4.9136
-4.547340393,-4.7721
-4.52931118,-4.6819
-4.555202007,-4.6234
-4.570383549,-4.3468
-6.034016132,-6.1549
-5.036540031,-5.3979
-4.624223232,-4.1662
-4.655630589,-4.1537
-5.801271439,-6.1549
-4.504414082,-5.3565
-4.648191929,-4.2684
-4.983444214,-5.2798
-4.972891808,-4.8601
-5.037359238,-4.4498
-5.0576334,-5.3401
-4.928413868,-4.821
-5.051148415,-5.3799
-4.887221336,-4.9586
-5.133110523,-4.6308
-5.436481476,-6.0088
-5.699311256,-5.6198
-5.403614998,-5.2924
-5.764263153,-6.1739
-4.699413776,-4.8069
-4.756356239,-4.6882
-4.739449024,-4.6716
-5.58317709,-5.6576
-5.356927872,-5.458
-5.382035255,-5.3484
-5.402867794,-5.2785
-5.553255081,-5.424
