EXP2-MAE,EXP3-MAE,EXP2-AE,EXP3-AE
,,0.550700805,0.330001018
,,0.490160828,0.49107111
,,0.710139498,0.66760467
,,0.544760828,0.54567111
,,0.477560828,0.47847111
,,0.483760828,0.48467111
,,0.389460828,0.39037111
,,0.550700805,0.330001018
,,0.374343146,0.365138758
,,0.490160828,0.49107111
,,0.262810194,0.290505373
,,0.804474219,0.284386977
,,0.44949678,0.183953319
,,0.948532929,0.976712575
,,0.758936543,0.779888767
,,0.366184861,0.141224057
,,0.238667921,0.187195734
,,0.225032079,0.276504266
,,0.170367746,0.018252821
,,0.169399149,0.012813933
,,0.1306435,0.203004492
,,0.098211467,0.024748504
,,0.254853516,0.308719426
,,0.290956376,0.245790837
,,0.189303583,0.228132909
,,0.172808688,0.133983652
,,0.07780236,0.016455472
,,0.131912016,0.005181097
,,0.147383273,0.023399413
,,0.239344682,0.362570371
,,0.623473027,0.568581918
,,0.063294383,0.038072614
,,0.195532256,0.141837054
,,0.41622317,0.380928638
,,0.572638271,0.540385482
,,0.614767802,0.615885985
,,0.69396621,0.701067746
,,0.169662383,0.368149665
,,0.386068777,0.443552927
,,0.330032645,0.351109801
,,0.351721041,0.335624926
,,0.278839747,0.247055689
,,0.476108084,0.458391199
,,0.158047353,0.143922005
,,0.350927813,0.391879542
,,0.591838232,0.609118811
,,0.749338232,0.766618811
,,0.571446163,0.590749962
,,0.684022874,0.704461545
,,0.017690628,0.265414268
,,0.636374373,0.384499449
,,0.604674373,0.352799449
,,0.513598926,0.425992496
,,0.416767821,0.198628172
,,0.220624873,0.118441531
,,0.014869811,0.045021413
,,0.281440627,0.342028033
,,0.186747227,0.286562119
,,0.264792675,0.379698986
,,0.087495605,0.222085278
,,0.626088324,0.75371522
,,0.016695664,0.107361958
,,0.023366391,0.06722647
,,0.022856782,0.084337781
,,0.363240726,0.456297881
,,0.606223271,0.659934209
,,0.510207037,0.44478927
,,0.749261718,0.694566112
,,0.700728826,0.684666566
,,0.557069167,0.268823965
,,0.320928486,0.175553234
,,0.142491855,0.018489398
,,0.037784053,0.167268707
,,0.282243389,0.415763515
,,0.094277147,0.059442278
,,0.037723134,0.256827901
,,0.065375069,0.193164566
,,0.390275069,0.518064566
,,0.057623447,0.06934446
,,0.599976553,0.72694446
,,0.303857544,0.357109287
,,0.130616867,0.243605816
,,0.045976553,0.17294446
,,0.545176553,0.67214446
,,0.220576553,0.34754446
,,0.244176553,0.37114446
,,0.291423447,0.16445554
,,0.277674186,0.205958354
,,0.214409937,0.260554422
,,0.203556789,0.183004154
,,0.474761394,0.501775172
,,0.145453574,0.247203947
,,0.288841418,0.187226943
,,0.370744718,0.229821695
,,0.252569825,0.102074296
,,0.205310773,0.050143193
,,0.187920581,0.033491145
,,0.019226951,0.093086166
,,0.239088302,0.099365478
,,0.312633599,0.169076527
,,0.199135972,0.054811192
,,0.101567184,0.037147607
,,0.223513338,0.10113785
,,0.02762765,0.082837763
,,0.19691394,0.243351203
,,0.012158696,0.041776482
,,0.05788103,0.034868868
,,0.137115524,0.223138854
,,0.056774684,0.067388602
,,0.072866778,0.08448873
,,0.166364684,0.176156058
,,0.067905335,0.080668359
,,0.04930075,0.108625333
,,0.161184966,0.289750277
,,0.288648067,0.408169685
,,0.363873048,0.474120184
,,0.590803454,0.693951437
,,0.271639674,0.147209495
,,0.42156566,0.290788301
,,0.544071934,0.393818161
,,0.670560779,0.584450187
,,0.652840137,0.543930531
,,0.442602057,0.29917993
,,0.656246416,0.584034197
,,0.301260995,0.117451238
,,0.224696277,0.029185413
,,0.543253973,0.382812098
,,0.349181348,0.164666825
,,0.179323827,0.011587943
,,0.294961897,0.002957854
,,0.449128118,0.325440851
,,0.738521175,0.729608134
,,0.546836758,0.560851956
,,0.550485388,0.60157992
,,0.306923184,0.197315965
,,0.264329525,0.148227306
,,0.722145959,0.595990582
,,0.502124318,0.372431287
,,0.127679581,0.004172559
,,0.210035155,0.118894885
,,0.036829856,0.008816811
,,0.258913026,0.205339418
,,0.332718237,0.284259184
,,0.04603604,0.008196558
,,0.084978688,0.085389245
,,0.394525814,0.358246613
,,0.134002396,0.105465599
,,0.007871123,0.0225673
,,0.286708506,0.231777819
,,0.229013177,0.09266636
,,0.351590508,0.273270004
,,0.175024763,0.11569287
,,0.311710572,0.276401257
,,0.472866663,0.419639238
,,0.3490465,0.211876185
,,0.11144524,0.114569
,,0.210542186,0.192955478
,,0.056776967,0.035679784
,,0.108154057,0.114934205
,,1.026824712,0.508418798
,,0.712784544,0.423834577
,,0.766952705,0.488467407
,,0.81529895,0.544592297
,,0.690189825,0.397523866
,,0.443240114,0.405716367
,,0.1027171,0.208357511
,,0.153431335,0.491665759
,,0.231220919,0.363044459
,,0.337321765,0.414996631
,,0.257320445,0.147573512
,,0.346342069,0.506850701
,,0.131906249,0.275949218
,,0.215308177,0.266000735
,,0.414902122,0.453913124
,,0.036734894,0.143917248
,,0.046306773,0.028187112
,,0.372097503,0.280362617
,,0.076291976,0.040038524
,,0.163222031,0.124805646
,,0.176690143,0.101134818
,,1.518185467,1.269107193
,,1.441710124,1.209817538
,,1.369691223,1.167973846
,,1.484423665,1.299982575
,,0.279125822,0.034747256
,,0.203956615,0.040534486
,,0.12331572,0.111653896
,,0.100693185,0.153635065
,,0.121740132,0.130067616
,,0.030010001,0.044871584
,,0.006184016,0.014751997
,,0.042576672,0.014232994
,,0.215339452,0.138753682
,,0.119998709,0.048254267
,,0.063170955,0.010870889
,,0.045217812,0.022432983
,,0.43660433,0.548348734
,,1.617849748,1.766773145
,,2.087142572,2.141265974
,,0.811682841,0.885892531
,,0.213591288,0.323312472
,,0.449393792,0.474330945
,,1.528293792,1.553230945
,,0.678093792,0.703030945
,,1.924309135,2.02668655
,,1.622109135,1.72448655
,,0.568344214,0.692815878
,,1.157744214,1.282215878
,,1.095066402,1.220585201
,,0.664235927,0.433037139
,,0.615706629,0.461554235
,,0.157659217,0.278784438
,,0.014640407,0.121380253
,,0.36045463,0.222575736
,,0.332286103,0.200477822
,,0.841651721,0.599831863
,,0.61079052,0.644802838
,,0.574872579,0.521166887
,,0.022923369,0.052922625
,,0.07932085,0.111127795
,,0.52961315,0.258763445
,,0.134059594,0.137161897
,,0.445626645,0.379762559
,,0.037704349,0.04205811
,,0.057198814,0.024987408
,,0.339065924,0.024037733
,,0.202639919,0.141229969
,,0.246374252,0.138482215
,,0.022303693,0.11435043
,,0.009787221,0.122678418
,,0.273614159,0.268921128
,,0.556354435,0.614969643
,,0.5342026,0.575785184
,,0.431551202,0.466855749
,,0.297403397,0.341323438
,,0.587000498,0.336142668
,,0.664606168,0.659620836
