SMILES,predicted_value,value
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,-5.685024261,-4.5513
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,-5.478744507,-5.0506
,-5.478744507,-4.7986
,-5.478744507,-4.5114
,-5.478744507,-4.3449
COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,-5.478744507,-4.3449
C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,-5.478744507,-4.3307
O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,-5.478744507,-4.3261
,-5.478744507,-4.4724
CN(C)CCC=C1c2ccccc2CCc2ccccc21,-5.898640633,-5.018634491
,-5.763030529,-4.982966661
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,-5.788049698,-4.970616222
,-5.884019852,-5.064996849
,-5.787717819,-5.023191663
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,-5.745146751,-4.879426069
CCc1cc(C(N)=S)ccn1,-6.040011406,-4.866461092
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,-6.079078197,-4.920818754
,-6.164443016,-4.966576245
,-5.776906013,-4.966576245
,-5.695455551,-5
,-5.808819771,-4.995678626
,-5.472589016,-5.6917644
,-5.388836861,-5.8966274
,-5.439724922,-5.8907185
,-5.404554844,-5.820431
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-5.341310501,-6.1067377
,-5.314546108,-6.0356744
,-5.436398029,-5.7961624
Cc1cccc(Nc2ccccc2C(=O)O)c1C,-5.458602905,-6.5046777
,-5.470672607,-6.8057077
,-5.364823341,-5.8678556
,-5.30960989,-5.8254518
,-5.381748676,-5.9470369
,-5.487088203,-6.035259658
,-5.493185997,-6.057347188
,-5.569232464,-6.080618531
,-5.492594719,-6.193765743
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,-5.512913704,-6.113723655
,-5.503994942,-6.159003636
,-5.589151382,-6.183546577
,-5.74661684,-6.325653339
,-5.797847748,-6.445947171
,-5.497793198,-6.046163021
,-5.497161388,-6.068827006
,-5.599120617,-6.135773796
,-5.432569981,-5.950727694
,-5.308838844,-6.197198918
,-5.392323971,-6.283679403
,-5.407184124,-6.021107659
,-5.336816788,-5.96110973
,-5.28220892,-6.173717823
,-5.456943512,-6.045931243
,-5.52059412,-6.421062959
,-5.530751705,-6.623167651
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,-5.367411613,-6.151441428
,-5.288664818,-6.100288905
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-5.437378407,-6.151441428
,-5.765578747,-5.48148606
,-5.802801132,-6.397940009
,-5.765578747,-6.431798276
,-5.491585732,-6.3585
,-5.519355774,-6.1002
,-5.532599449,-6.129
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,-5.532599449,-6.0926
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,-5.986936092,-6.7033
,-5.780160904,-5.9259
,-5.645805836,-6.1838
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,-5.645805836,-5.7726
,-5.06672287,-4.4672
,-5.154488087,-4.6819
,-5.127987862,-4.9172
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,-5.065979481,-4.6799
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,-5.065979481,-4.7167
,-5.061902523,-4.567
,-5.074406624,-4.618
,-5.071559429,-4.5986
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,-5.101538658,-4.7235
,-5.086933613,-4.5243
,-5.09688282,-4.5935
,-4.665442467,-4.7011
,-6.122945786,-5.5058
,-6.161581993,-5.8041
,-6.229053497,-6.1427
,-5.547798634,-5.8794
,-5.21179533,-5.8861
,-5.514698982,-5.8447
,-5.20142889,-5.6925
,-5.21179533,-5.8794
CN1CC(=O)N=C1N,-5.20142889,-5.7471
